player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,28,271,David Raya Martín,Raya,1,34.2,6.0,1,7,Home,2026-03-01T16:30:00Z,2,1,90,0,0,0,1,0,0,0,12,3,0.0,0.01,0.01,1.05,0,0.1,1.2,0.0,0.0,False,a,,,,,2526
2,109745,28,271,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.1,1,7,Home,2026-03-01T16:30:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,28,271,Karl Hein,Hein,1,0.2,4.0,1,7,Home,2026-03-01T16:30:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,28,271,Tommy Setford,Setford,1,0.2,3.9,1,7,Home,2026-03-01T16:30:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,28,271,Gabriel dos Santos Magalhães,Gabriel,2,42.7,7.1,1,7,Home,2026-03-01T16:30:00Z,2,1,90,0,1,0,1,1,0,3,27,9,0.03,0.57,0.6,1.05,11,0.9,6.6,0.6,2.0,False,a,,,,,2526
6,462424,28,271,William Saliba,Saliba,2,13.5,6.1,1,7,Home,2026-03-01T16:30:00Z,2,1,90,1,0,0,1,0,0,2,26,10,0.26,0.0,0.26,1.05,6,6.7,33.6,0.1,33.0,True,a,,,,,2526
7,466075,28,271,Riccardo Calafiori,Calafiori,2,6.2,5.6,1,7,Home,2026-03-01T16:30:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
8,445122,28,271,Jurriën Timber,J.Timber,2,27.6,6.3,1,7,Home,2026-03-01T16:30:00Z,2,1,90,1,0,0,1,0,0,0,25,8,0.41,0.01,0.42,1.05,4,1.3,2.6,10.7,0.0,False,a,,,,,2526
9,440854,28,271,Jakub Kiwior,Kiwior,2,0.0,5.4,1,7,Home,2026-03-01T16:30:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,28,271,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.1,1,7,Home,2026-03-01T16:30:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
